minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
212092.02,True,1,4c1396e7,2024-07-27_07-59-06,1722067146,3195.5846467018127,3195.5846467018127,642742,0beaf8978b78,172.18.0.2,3195.5846467018127,1
207270.02,True,1,b41c2b93,2024-07-27_06-57-07,1722063427,3136.164116621017,3136.164116621017,334992,0beaf8978b78,172.18.0.2,3136.164116621017,1
9e+99,True,1,f016b82c,2024-07-27_05-19-00,1722057540,449.5591118335724,449.5591118335724,169511,0beaf8978b78,172.18.0.2,449.5591118335724,1
210416.04,True,1,a05a1c18,2024-07-27_06-49-01,1722062941,3110.564792394638,3110.564792394638,219683,0beaf8978b78,172.18.0.2,3110.564792394638,1
205636.69,True,1,e348e3c0,2024-07-27_06-02-01,1722060121,3446.0311472415924,3446.0311472415924,18809,0beaf8978b78,172.18.0.2,3446.0311472415924,1
223138.62,True,1,2246193,2024-07-27_07-00-06,1722063606,3556.7879009246826,3556.7879009246826,276576,0beaf8978b78,172.18.0.2,3556.7879009246826,1
215677.2,True,1,93383f61,2024-07-27_06-47-50,1722062870,3133.340364217758,3133.340364217758,202979,0beaf8978b78,172.18.0.2,3133.340364217758,1
202530.85,True,1,9c197e3d,2024-07-27_08-02-56,1722067376,3551.2768161296844,3551.2768161296844,623563,0beaf8978b78,172.18.0.2,3551.2768161296844,1
214649.03,True,1,f04c6743,2024-07-27_06-47-04,1722062824,3136.3842961788177,3136.3842961788177,196427,0beaf8978b78,172.18.0.2,3136.3842961788177,1
210407.89,True,1,92022c78,2024-07-27_06-00-39,1722060039,3397.4742438793182,3397.4742438793182,6673,0beaf8978b78,172.18.0.2,3397.4742438793182,1
207559.3,True,1,ed1bb48e,2024-07-27_07-00-32,1722063632,3312.1910383701324,3312.1910383701324,342148,0beaf8978b78,172.18.0.2,3312.1910383701324,1
210393.92,True,1,4da35669,2024-07-27_05-57-07,1722059827,3187.4357924461365,3187.4357924461365,6045,0beaf8978b78,172.18.0.2,3187.4357924461365,1
206610.01,True,1,cd64431a,2024-07-27_06-49-24,1722062964,3229.3936247825623,3229.3936247825623,202303,0beaf8978b78,172.18.0.2,3229.3936247825623,1
207016.1,True,1,cebd80d8,2024-07-27_06-59-00,1722063540,3192.1289191246037,3192.1289191246037,348758,0beaf8978b78,172.18.0.2,3192.1289191246037,1
224691.81,True,1,ccc4bc4c,2024-07-27_08-06-16,1722067576,3618.47434926033,3618.47434926033,644523,0beaf8978b78,172.18.0.2,3618.47434926033,1
206169.55,True,1,929c1455,2024-07-27_06-54-54,1722063294,3069.551018238068,3069.551018238068,320755,0beaf8978b78,172.18.0.2,3069.551018238068,1
206656.89,True,1,dfb43822,2024-07-27_07-43-34,1722066214,3150.4393668174744,3150.4393668174744,475866,0beaf8978b78,172.18.0.2,3150.4393668174744,1
220463.51,True,1,62b5806c,2024-07-27_06-10-04,1722060604,3971.558979511261,3971.558979511261,2900,0beaf8978b78,172.18.0.2,3971.558979511261,1
205572.49,True,1,b9fc3f84,2024-07-27_06-01-45,1722060105,3445.520493745804,3445.520493745804,13621,0beaf8978b78,172.18.0.2,3445.520493745804,1
206815.06,True,1,4afa522b,2024-07-27_07-49-45,1722066585,3178.133872270584,3178.133872270584,545180,0beaf8978b78,172.18.0.2,3178.133872270584,1
202947.31000000003,True,1,89fc3a07,2024-07-27_07-49-13,1722066553,3140.38547706604,3140.38547706604,546499,0beaf8978b78,172.18.0.2,3140.38547706604,1
207575.73,True,1,e1ceaf37,2024-07-27_05-57-08,1722059828,3164.537448644638,3164.537448644638,14760,0beaf8978b78,172.18.0.2,3164.537448644638,1
211481.65,True,1,e78ac174,2024-07-27_06-03-43,1722060223,3552.826003551483,3552.826003551483,17108,0beaf8978b78,172.18.0.2,3552.826003551483,1
201268.34,True,1,ca287a3a,2024-07-27_07-45-28,1722066328,3015.551379680633,3015.551379680633,523375,0beaf8978b78,172.18.0.2,3015.551379680633,1
206312.82,True,1,a037ef17,2024-07-27_07-39-57,1722065997,3080.389138698578,3080.389138698578,448414,0beaf8978b78,172.18.0.2,3080.389138698578,1
209278.42,True,1,e8102c34,2024-07-27_07-02-17,1722063737,3122.7881183624268,3122.7881183624268,395381,0beaf8978b78,172.18.0.2,3122.7881183624268,1
200310.68,True,1,8.0631e+26,2024-07-27_05-53-46,1722059626,2996.8463587760925,2996.8463587760925,2609,0beaf8978b78,172.18.0.2,2996.8463587760925,1
209185.64,True,1,5ba61bee,2024-07-27_05-55-33,1722059733,3079.9455301761627,3079.9455301761627,11216,0beaf8978b78,172.18.0.2,3079.9455301761627,1
207293.74,True,1,6768f1fe,2024-07-27_07-05-20,1722063920,3086.210037946701,3086.210037946701,411853,0beaf8978b78,172.18.0.2,3086.210037946701,1
205525.17,True,1,0da21756,2024-07-27_06-51-44,1722063104,3275.1518137454987,3275.1518137454987,219079,0beaf8978b78,172.18.0.2,3275.1518137454987,1
213844.12,True,1,b796a6cb,2024-07-27_06-08-01,1722060481,3846.367698907852,3846.367698907852,4576,0beaf8978b78,172.18.0.2,3846.367698907852,1
211179.16,True,1,d44c90ea,2024-07-27_07-38-47,1722065927,3100.591960668564,3100.591960668564,440826,0beaf8978b78,172.18.0.2,3100.591960668564,1
219837.08,True,1,1cbe8f80,2024-07-27_05-58-41,1722059921,3287.458161354065,3287.458161354065,4237,0beaf8978b78,172.18.0.2,3287.458161354065,1
205344.47,True,1,b58395e3,2024-07-27_07-05-48,1722063948,3158.215549230576,3158.215549230576,408928,0beaf8978b78,172.18.0.2,3158.215549230576,1
205431.1,True,1,cc7e6d7c,2024-07-27_05-56-21,1722059781,3104.468389749527,3104.468389749527,19339,0beaf8978b78,172.18.0.2,3104.468389749527,1
203964.83,True,1,959ce955,2024-07-27_07-57-32,1722067052,3418.174836874008,3418.174836874008,593686,0beaf8978b78,172.18.0.2,3418.174836874008,1
215520.68,True,1,50aeb63e,2024-07-27_07-41-34,1722066094,3192.9503257274628,3192.9503257274628,445574,0beaf8978b78,172.18.0.2,3192.9503257274628,1
211292.58,True,1,b7cff0e5,2024-07-27_06-05-46,1722060346,3700.35427069664,3700.35427069664,8416,0beaf8978b78,172.18.0.2,3700.35427069664,1
230036.44,True,1,d13155a9,2024-07-27_06-05-46,1722060346,3715.376490831375,3715.376490831375,2690,0beaf8978b78,172.18.0.2,3715.376490831375,1
201327.24,True,1,282a187f,2024-07-27_05-54-46,1722059686,3024.2568759918213,3024.2568759918213,14221,0beaf8978b78,172.18.0.2,3024.2568759918213,1
217462.74,True,1,50b3a678,2024-07-27_05-58-23,1722059903,3225.059468984604,3225.059468984604,19984,0beaf8978b78,172.18.0.2,3225.059468984604,1
203299.58,True,1,69917102,2024-07-27_07-42-13,1722066133,3027.372042655945,3027.372042655945,483161,0beaf8978b78,172.18.0.2,3027.372042655945,1
200897.78,True,1,7ace49c0,2024-07-27_06-53-15,1722063195,3071.323869943619,3071.323869943619,293410,0beaf8978b78,172.18.0.2,3071.323869943619,1
203618.33,True,1,bfc4ceaf,2024-07-27_08-03-35,1722067415,3872.480437517166,3872.480437517166,576080,0beaf8978b78,172.18.0.2,3872.480437517166,1
9e+99,True,1,b7103db6,2024-07-27_06-55-10,1722063310,437.8864457607269,437.8864457607269,442602,0beaf8978b78,172.18.0.2,437.8864457607269,1
201924.17,True,1,5019f541,2024-07-27_06-53-57,1722063237,3421.041933536529,3421.041933536529,215374,0beaf8978b78,172.18.0.2,3421.041933536529,1
212213.96,True,1,4c150c04,2024-07-27_07-07-26,1722064046,3695.726076126098,3695.726076126098,349295,0beaf8978b78,172.18.0.2,3695.726076126098,1
208874.33,True,1,8948b707,2024-07-27_07-58-19,1722067099,3263.020396471024,3263.020396471024,626113,0beaf8978b78,172.18.0.2,3263.020396471024,1
213384.16,True,1,80ec6537,2024-07-27_06-56-51,1722063411,3505.682458639145,3505.682458639145,236861,0beaf8978b78,172.18.0.2,3505.682458639145,1
209531.58,True,1,2a4482ef,2024-07-27_06-02-00,1722060120,3461.820050239563,3461.820050239563,13045,0beaf8978b78,172.18.0.2,3461.820050239563,1
222521.12,True,1,eb5e5345,2024-07-27_06-04-49,1722060289,3641.571672439575,3641.571672439575,8919,0beaf8978b78,172.18.0.2,3641.571672439575,1
219195.68,True,1,c00d1655,2024-07-27_06-01-49,1722060109,3457.326019048691,3457.326019048691,10623,0beaf8978b78,172.18.0.2,3457.326019048691,1
210809.0,True,1,dc0a5077,2024-07-27_07-42-51,1722066171,3059.372782230377,3059.372782230377,483723,0beaf8978b78,172.18.0.2,3059.372782230377,1
200291.65,True,1,6960a25f,2024-07-27_07-46-25,1722066385,3089.5856535434723,3089.5856535434723,519235,0beaf8978b78,172.18.0.2,3089.5856535434723,1
206478.09,True,1,9bc2c9b3,2024-07-27_07-41-59,1722066119,3176.208211898804,3176.208211898804,453966,0beaf8978b78,172.18.0.2,3176.208211898804,1
214251.82,True,1,053facb4,2024-07-27_08-06-30,1722067590,3668.459811925888,3668.459811925888,633888,0beaf8978b78,172.18.0.2,3668.459811925888,1
