minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
50636.35,True,1,907e6c4f,2024-07-30_18-44-54,1722365094,126.35822916030884,126.35822916030884,104077,fe8781b58c4b,172.18.0.2,126.35822916030884,1,
9e+99,True,1,1566cb2d,2024-07-30_18-44-22,1722365062,34.99056077003479,34.99056077003479,221084,fe8781b58c4b,172.18.0.2,34.99056077003479,1,
9e+99,True,1,198d75f6,2024-07-30_18-44-14,1722365054,111.78083968162537,111.78083968162537,47692,fe8781b58c4b,172.18.0.2,111.78083968162537,1,
38737.98,True,1,d192ca11,2024-07-30_18-46-48,1722365208,134.5950608253479,134.5950608253479,321738,fe8781b58c4b,172.18.0.2,134.5950608253479,1,
53710.69,True,1,a4d1349b,2024-07-30_18-44-05,1722365045,136.69201827049255,136.69201827049255,4974,fe8781b58c4b,172.18.0.2,136.69201827049255,1,
9e+99,True,1,1df11fb1,2024-07-30_18-42-21,1722364941,30.84081339836121,30.84081339836121,5545,fe8781b58c4b,172.18.0.2,30.84081339836121,1,
9e+99,True,1,b2cf9d9c,2024-07-30_18-43-35,1722365015,66.22069644927979,66.22069644927979,63217,fe8781b58c4b,172.18.0.2,66.22069644927979,1,
55954.09,True,1,1435cc94,2024-07-30_18-46-12,1722365172,132.40789794921875,132.40789794921875,250309,fe8781b58c4b,172.18.0.2,132.40789794921875,1,
57184.82,True,1,6624ee02,2024-07-30_18-44-01,1722365041,126.05980706214903,126.05980706214903,7820,fe8781b58c4b,172.18.0.2,126.05980706214903,1,
36336.52,True,1,fd6f59cb,2024-07-30_18-44-48,1722365088,141.02072739601135,141.02072739601135,58183,fe8781b58c4b,172.18.0.2,141.02072739601135,1,
9e+99,True,1,de7ad119,2024-07-30_18-42-46,1722364966,32.543351888656616,32.543351888656616,31481,fe8781b58c4b,172.18.0.2,32.543351888656616,1,
9e+99,True,1,61add1d2,2024-07-30_18-42-58,1722364978,34.251734256744385,34.251734256744385,51350,fe8781b58c4b,172.18.0.2,34.251734256744385,1,
37733.87,True,1,8883d78b,2024-07-30_18-44-16,1722365056,138.06917262077332,138.06917262077332,10129,fe8781b58c4b,172.18.0.2,138.06917262077332,1,
9e+99,True,1,708ee54f,2024-07-30_18-43-00,1722364980,63.7368233203888,63.7368233203888,8864,fe8781b58c4b,172.18.0.2,63.7368233203888,1,
9e+99,True,1,6b4e12f8,2024-07-30_18-44-08,1722365048,35.72031569480896,35.72031569480896,187526,fe8781b58c4b,172.18.0.2,35.72031569480896,1,
9e+99,True,1,69b87dac,2024-07-30_18-42-31,1722364951,31.29313588142395,31.29313588142395,11537,fe8781b58c4b,172.18.0.2,31.29313588142395,1,
57335.58,True,1,2b8d43fd,2024-07-30_18-45-57,1722365157,121.92903113365172,121.92903113365172,239135,fe8781b58c4b,172.18.0.2,121.92903113365172,1,
9e+99,True,1,2437a014,2024-07-30_18-42-34,1722364954,48.90551018714905,48.90551018714905,4220,fe8781b58c4b,172.18.0.2,48.90551018714905,1,
9e+99,True,1,6cca8e49,2024-07-30_18-45-37,1722365137,129.46626257896423,129.46626257896423,180171,fe8781b58c4b,172.18.0.2,129.46626257896423,1,
55302.32,True,1,548eeabf,2024-07-30_18-46-12,1722365172,120.95520496368408,120.95520496368408,275369,fe8781b58c4b,172.18.0.2,120.95520496368408,1,
9e+99,True,1,d62c95ae,2024-07-30_18-43-27,1722365007,85.71362066268921,85.71362066268921,13013,fe8781b58c4b,172.18.0.2,85.71362066268921,1,
9e+99,True,1,d7770d88,2024-07-30_18-42-37,1722364957,31.684543132781982,31.684543132781982,18534,fe8781b58c4b,172.18.0.2,31.684543132781982,1,
9e+99,True,1,3e997d1a,2024-07-30_18-45-23,1722365123,99.95532608032228,99.95532608032228,211953,fe8781b58c4b,172.18.0.2,99.95532608032228,1,
56044.54000000001,True,1,884c9a51,2024-07-30_18-46-14,1722365174,123.78145623207092,123.78145623207092,271291,fe8781b58c4b,172.18.0.2,123.78145623207092,1,
54939.5,True,1,b6b5513e,2024-07-30_18-44-46,1722365086,127.5236155986786,127.5236155986786,81993,fe8781b58c4b,172.18.0.2,127.5236155986786,1,
39397.949,True,1,375cf32a,2024-07-30_18-46-05,1722365165,132.1659815311432,132.1659815311432,234638,fe8781b58c4b,172.18.0.2,132.1659815311432,1,
9e+99,True,1,db618d5c,2024-07-30_18-42-48,1722364968,32.71570372581482,32.71570372581482,34400,fe8781b58c4b,172.18.0.2,32.71570372581482,1,
48944.77,True,1,e7f3cd37,2024-07-30_18-44-33,1722365073,143.83172988891602,143.83172988891602,22901,fe8781b58c4b,172.18.0.2,143.83172988891602,1,
33418.33,True,1,7a8a3388,2024-07-30_18-46-35,1722365195,132.3516561985016,132.3516561985016,297592,fe8781b58c4b,172.18.0.2,132.3516561985016,1,
35314.45,True,1,0a2c62c2,2024-07-30_18-45-23,1722365123,144.67793822288513,144.67793822288513,125549,fe8781b58c4b,172.18.0.2,144.67793822288513,1,
9e+99,True,1,8b6aa252,2024-07-30_18-44-38,1722365078,36.14596295356751,36.14596295356751,253860,fe8781b58c4b,172.18.0.2,36.14596295356751,1,
9e+99,True,1,8d2567f9,2024-07-30_18-44-27,1722365067,36.61444544792175,36.61444544792175,230430,fe8781b58c4b,172.18.0.2,36.61444544792175,1,
56009.8,True,1,7de611e8,2024-07-30_18-45-13,1722365113,147.08910989761353,147.08910989761353,100346,fe8781b58c4b,172.18.0.2,147.08910989761353,1,
9e+99,True,1,522dfdbf,2024-07-30_18-45-34,1722365134,115.05443572998048,115.05443572998048,203866,fe8781b58c4b,172.18.0.2,115.05443572998048,1,
9e+99,True,1,62710718,2024-07-30_18-43-56,1722365036,35.938068866729736,35.938068866729736,165472,fe8781b58c4b,172.18.0.2,35.938068866729736,1,
37019.14,True,1,c3d8e54b,2024-07-30_18-46-39,1722365199,130.1996307373047,130.1996307373047,308642,fe8781b58c4b,172.18.0.2,130.1996307373047,1,
9e+99,True,1,579f18e8,2024-07-30_18-44-10,1722365050,35.805684328079224,35.805684328079224,191047,fe8781b58c4b,172.18.0.2,35.805684328079224,1,
9e+99,True,1,20690e4a,2024-07-30_18-43-58,1722365038,35.686482429504395,35.686482429504395,169389,fe8781b58c4b,172.18.0.2,35.686482429504395,1,
9e+99,True,1,31da7035,2024-07-30_18-43-30,1722365010,36.89880442619324,36.89880442619324,114778,fe8781b58c4b,172.18.0.2,36.89880442619324,1,
53947.38,True,1,f5ee2ff9,2024-07-30_18-46-13,1722365173,124.8780152797699,124.8780152797699,266635,fe8781b58c4b,172.18.0.2,124.8780152797699,1,
48658.3,True,1,cb295d42,2024-07-30_18-46-28,1722365188,130.19762444496155,130.19762444496155,285613,fe8781b58c4b,172.18.0.2,130.19762444496155,1,
38605.22,True,1,e9e00170,2024-07-30_18-43-55,1722365035,131.27333855628967,131.27333855628967,2915,fe8781b58c4b,172.18.0.2,131.27333855628967,1,
47586.92,True,1,ab7abe57,2024-07-30_18-46-29,1722365189,109.0689287185669,109.0689287185669,334376,fe8781b58c4b,172.18.0.2,109.0689287185669,1,
9e+99,True,1,aa7f41e3,2024-07-30_18-43-43,1722365023,36.5539116859436,36.5539116859436,140191,fe8781b58c4b,172.18.0.2,36.5539116859436,1,
9e+99,True,1,04fef133,2024-07-30_18-44-12,1722365052,34.724061727523804,34.724061727523804,199405,fe8781b58c4b,172.18.0.2,34.724061727523804,1,
9e+99,True,1,27a674bd,2024-07-30_18-44-44,1722365084,87.87429356575012,87.87429356575012,157585,fe8781b58c4b,172.18.0.2,87.87429356575012,1,
9e+99,True,1,b68a0186,2024-07-30_18-43-20,1722365000,98.95838379859924,98.95838379859924,2608,fe8781b58c4b,172.18.0.2,98.95838379859924,1,
9e+99,True,1,6cf79b8c,2024-07-30_18-43-26,1722365006,50.09390592575073,50.09390592575073,78059,fe8781b58c4b,172.18.0.2,50.09390592575073,1,
50750.11000000001,True,1,ddcb9aa0,2024-07-30_18-46-10,1722365170,115.06293964385986,115.06293964385986,282007,fe8781b58c4b,172.18.0.2,115.06293964385986,1,
40796.29,True,1,ab9a8c6f,2024-07-30_18-46-19,1722365179,119.86387491226196,119.86387491226196,289587,fe8781b58c4b,172.18.0.2,119.86387491226196,1,
9e+99,True,1,1d9b80ee,2024-07-30_18-43-31,1722365011,51.28454351425171,51.28454351425171,85985,fe8781b58c4b,172.18.0.2,51.28454351425171,1,
9e+99,True,1,85cc09f8,2024-07-30_18-43-08,1722364988,75.10759472846985,75.10759472846985,6804,fe8781b58c4b,172.18.0.2,75.10759472846985,1,
9e+99,True,1,a1eb7e8b,2024-07-30_18-45-31,1722365131,109.27116918563844,109.27116918563844,208202,fe8781b58c4b,172.18.0.2,109.27116918563844,1,
9e+99,True,1,3444a121,2024-07-30_18-42-38,1722364958,51.08976721763611,51.08976721763611,4554,fe8781b58c4b,172.18.0.2,51.08976721763611,1,
9e+99,True,1,132c70ee,2024-07-30_18-42-50,1722364970,33.2649519443512,33.2649519443512,37512,fe8781b58c4b,172.18.0.2,33.2649519443512,1,
37668.29,True,1,549d16ed,2024-07-30_18-46-38,1722365198,136.52561926841736,136.52561926841736,293840,fe8781b58c4b,172.18.0.2,136.52561926841736,1,
9e+99,True,1,474ccf73,2024-07-30_18-43-33,1722365013,36.30302453041077,36.30302453041077,121723,fe8781b58c4b,172.18.0.2,36.30302453041077,1,
54292.59,True,1,b2bb840f,2024-07-30_18-43-49,1722365029,126.86386632919312,126.86386632919312,2694,fe8781b58c4b,172.18.0.2,126.86386632919312,1,
45128.3,True,1,001fe1e2,2024-07-30_18-46-50,1722365210,137.82770776748657,137.82770776748657,316013,fe8781b58c4b,172.18.0.2,137.82770776748657,1,
9e+99,True,1,26a8a4e0,2024-07-30_18-42-52,1722364972,48.32440900802612,48.32440900802612,16639,fe8781b58c4b,172.18.0.2,48.32440900802612,1,
9e+99,True,1,f7aec392,2024-07-30_18-44-00,1722365040,35.5414023399353,35.5414023399353,174133,fe8781b58c4b,172.18.0.2,35.5414023399353,1,
9e+99,True,1,0c27229b,2024-07-30_18-43-41,1722365021,36.20085525512695,36.20085525512695,136062,fe8781b58c4b,172.18.0.2,36.20085525512695,1,
53268.77,True,1,0d85d7ed,2024-07-30_18-46-02,1722365162,123.74309468269348,123.74309468269348,246285,fe8781b58c4b,172.18.0.2,123.74309468269348,1,
