minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
37543.77,True,1,67f5e971,2024-09-17_12-07-42,1726574862,164.94676756858826,164.94676756858826,252978,2d40da767054,172.18.0.2,164.94676756858826,1
43934.638,True,1,60d386df,2024-09-17_12-04-30,1726574670,139.07026600837708,139.07026600837708,62593,2d40da767054,172.18.0.2,139.07026600837708,1
35599.22,True,1,b142d250,2024-09-17_12-09-31,1726574971,148.8309190273285,148.8309190273285,399778,2d40da767054,172.18.0.2,148.8309190273285,1
46714.592,True,1,4f65133d,2024-09-17_12-10-43,1726575043,116.84697604179382,116.84697604179382,539245,2d40da767054,172.18.0.2,116.84697604179382,1
42865.567,True,1,2abf0214,2024-09-17_12-04-56,1726574696,137.334068775177,137.334068775177,87080,2d40da767054,172.18.0.2,137.334068775177,1
37038.91,True,1,6b7e668f,2024-09-17_12-10-54,1726575054,143.49562454223633,143.49562454223633,518240,2d40da767054,172.18.0.2,143.49562454223633,1
35699.21,True,1,15dab90d,2024-09-17_12-04-18,1726574658,165.52526545524597,165.52526545524597,23395,2d40da767054,172.18.0.2,165.52526545524597,1
38250.2,True,1,b06a73a3,2024-09-17_12-12-30,1726575150,149.5185899734497,149.5185899734497,639861,2d40da767054,172.18.0.2,149.5185899734497,1
34375.86,True,1,199dc481,2024-09-17_12-10-57,1726575057,141.1020469665527,141.1020469665527,527615,2d40da767054,172.18.0.2,141.1020469665527,1
36491.45,True,1,8fda4e7d,2024-09-17_12-07-06,1726574826,163.69713711738586,163.69713711738586,206168,2d40da767054,172.18.0.2,163.69713711738586,1
37877.88,True,1,0b6c4cc7,2024-09-17_12-11-19,1726575079,136.12312388420105,136.12312388420105,559574,2d40da767054,172.18.0.2,136.12312388420105,1
34877.79,True,1,071b2600,2024-09-17_12-09-52,1726574992,159.35476684570312,159.35476684570312,414663,2d40da767054,172.18.0.2,159.35476684570312,1
37223.92999999999,True,1,482e052b,2024-09-17_12-07-43,1726574863,182.01458048820496,182.01458048820496,233433,2d40da767054,172.18.0.2,182.01458048820496,1
38773.51,True,1,799666ef,2024-09-17_12-04-59,1726574699,157.8338212966919,157.8338212966919,71201,2d40da767054,172.18.0.2,157.8338212966919,1
38474.05,True,1,9e3fe7ca,2024-09-17_12-06-25,1726574785,162.87839341163635,162.87839341163635,158585,2d40da767054,172.18.0.2,162.87839341163635,1
37025.79,True,1,89102676,2024-09-17_12-04-35,1726574675,154.37763929367063,154.37763929367063,52184,2d40da767054,172.18.0.2,154.37763929367063,1
38008.15,True,1,92b9db54,2024-09-17_12-09-09,1726574949,170.66558861732483,170.66558861732483,347811,2d40da767054,172.18.0.2,170.66558861732483,1
36902.46,True,1,53a6e721,2024-09-17_12-08-25,1726574905,162.167298078537,162.167298078537,307896,2d40da767054,172.18.0.2,162.167298078537,1
36666.59,True,1,e036b6c4,2024-09-17_12-07-17,1726574837,162.6116909980774,162.6116909980774,227126,2d40da767054,172.18.0.2,162.6116909980774,1
38435.32,True,1,1ba3ebe1,2024-09-17_12-09-07,1726574947,147.73904871940613,147.73904871940613,368633,2d40da767054,172.18.0.2,147.73904871940613,1
35960.85,True,1,99193aee,2024-09-17_12-09-45,1726574985,157.84361839294434,157.84361839294434,408030,2d40da767054,172.18.0.2,157.84361839294434,1
35289.08,True,1,898cb7df,2024-09-17_12-12-12,1726575132,146.77690482139587,146.77690482139587,619986,2d40da767054,172.18.0.2,146.77690482139587,1
