minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
205570.78000000003,True,1,61179edb,2024-07-25_14-23-06,1721917386,3222.9021899700165,3222.9021899700165,677484,a39125213d7b,172.18.0.2,3222.9021899700165,1,
224600.36,True,1,e8c0355d,2024-07-25_11-47-44,1721908064,4122.392870187759,4122.392870187759,18239,a39125213d7b,172.18.0.2,4122.392870187759,1,
206625.0,True,1,a42feafa,2024-07-25_12-35-03,1721910903,3426.489154815674,3426.489154815674,242789,a39125213d7b,172.18.0.2,3426.489154815674,1,
237826.5,True,1,6841000.0,2024-07-25_11-56-00,1721908560,4612.89533829689,4612.89533829689,20055,a39125213d7b,172.18.0.2,4612.89533829689,1,
213898.49,True,1,7026c768,2024-07-25_13-32-54,1721914374,3779.081449270248,3779.081449270248,445616,a39125213d7b,172.18.0.2,3779.081449270248,1,
194762.82,True,1,98e62ef2,2024-07-25_13-31-06,1721914266,3576.7723972797394,3576.7723972797394,458435,a39125213d7b,172.18.0.2,3576.7723972797394,1,
210232.22,True,1,020ee338,2024-07-25_14-23-09,1721917389,3276.7744641304016,3276.7744641304016,670216,a39125213d7b,172.18.0.2,3276.7744641304016,1,
205711.62,True,1,8af57226,2024-07-25_13-55-01,1721915701,3597.9528460502625,3597.9528460502625,634320,a39125213d7b,172.18.0.2,3597.9528460502625,1,
209811.39,True,1,50aa3b28,2024-07-25_13-32-33,1721914353,3586.5638768672943,3586.5638768672943,478304,a39125213d7b,172.18.0.2,3586.5638768672943,1,
228704.46,True,1,408ca3c6,2024-07-25_13-38-40,1721914720,3827.576333999634,3827.576333999634,502870,a39125213d7b,172.18.0.2,3827.576333999634,1,
234557.6,True,1,c03526ea,2024-07-25_12-29-53,1721910593,3338.354634284973,3338.354634284973,197196,a39125213d7b,172.18.0.2,3338.354634284973,1,
224244.62,True,1,5d058be3,2024-07-25_13-45-50,1721915150,3764.0382692813873,3764.0382692813873,556842,a39125213d7b,172.18.0.2,3764.0382692813873,1,
204379.41,True,1,34fab15c,2024-07-25_12-38-44,1721911124,3528.540717124939,3528.540717124939,275184,a39125213d7b,172.18.0.2,3528.540717124939,1,
210694.33,True,1,49a7b987,2024-07-25_11-37-54,1721907474,3546.457300901413,3546.457300901413,12885,a39125213d7b,172.18.0.2,3546.457300901413,1,
200724.11,True,1,42082651,2024-07-25_11-42-28,1721907748,3801.946964979172,3801.946964979172,19484,a39125213d7b,172.18.0.2,3801.946964979172,1,
208676.48,True,1,f64d6fed,2024-07-25_12-52-25,1721911945,4100.878825426102,4100.878825426102,329342,a39125213d7b,172.18.0.2,4100.878825426102,1,
207554.43,True,1,f1daf772,2024-07-25_13-51-00,1721915460,3745.3525590896606,3745.3525590896606,593041,a39125213d7b,172.18.0.2,3745.3525590896606,1,
209849.64,True,1,afe96158,2024-07-25_13-30-55,1721914255,3775.472727060318,3775.472727060318,431066,a39125213d7b,172.18.0.2,3775.472727060318,1,
210812.99,True,1,b62576d0,2024-07-25_11-34-37,1721907277,3350.2119011878967,3350.2119011878967,12264,a39125213d7b,172.18.0.2,3350.2119011878967,1,
219668.24,True,1,65bea1a1,2024-07-25_11-44-28,1721907868,3956.06746506691,3956.06746506691,7103,a39125213d7b,172.18.0.2,3956.06746506691,1,
214560.7,True,1,1c3a825f,2024-07-25_11-35-45,1721907345,3414.1630623340607,3414.1630623340607,14061,a39125213d7b,172.18.0.2,3414.1630623340607,1,
226686.19,True,1,ab6a4e04,2024-07-25_13-33-21,1721914401,3967.991646766663,3967.991646766663,426067,a39125213d7b,172.18.0.2,3967.991646766663,1,
203655.06,True,1,a86f8736,2024-07-25_12-44-54,1721911494,3623.685440301895,3623.685440301895,337865,a39125213d7b,172.18.0.2,3623.685440301895,1,
198005.75,True,1,5.0263e+44,2024-07-25_13-44-54,1721915094,3597.8956446647644,3597.8956446647644,568078,a39125213d7b,172.18.0.2,3597.8956446647644,1,
