minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
1415.4350000000002,True,1,256d86ff,2024-07-25_19-06-32,1721934392,4212.524497747421,4212.524497747421,185654,efd53ac26776,172.18.0.2,4212.524497747421,1,
1694.697,True,1,d06fe284,2024-07-26_00-52-44,1721955164,25393.611567020416,25393.611567020416,11812,efd53ac26776,172.18.0.2,25393.611567020416,1,
1303.136,True,1,15dfb200,2024-07-25_21-21-57,1721942517,5125.345646858215,5125.345646858215,492043,efd53ac26776,172.18.0.2,5125.345646858215,1,
1641.2037000000005,True,1,e471e4a6,2024-07-25_18-54-41,1721933681,3907.258164644241,3907.258164644241,12987,efd53ac26776,172.18.0.2,3907.258164644241,1,
1495.9896,True,1,6b86a652,2024-07-25_20-06-38,1721937998,4141.237724304199,4141.237724304199,293160,efd53ac26776,172.18.0.2,4141.237724304199,1,
1511.4719,True,1,2fb4e150,2024-07-25_19-16-26,1721934986,2852.2185106277466,2852.2185106277466,227917,efd53ac26776,172.18.0.2,2852.2185106277466,1,
1451.1988,True,1,0d546d12,2024-07-25_20-50-01,1721940601,4373.560581922531,4373.560581922531,436626,efd53ac26776,172.18.0.2,4373.560581922531,1,
1436.4260000000002,True,1,2eafe7ac,2024-07-25_21-22-47,1721942567,4849.7035393714905,4849.7035393714905,511764,efd53ac26776,172.18.0.2,4849.7035393714905,1,
1529.204384,True,1,9a1c6271,2024-07-25_20-26-52,1721939212,3535.4969987869263,3535.4969987869263,406681,efd53ac26776,172.18.0.2,3535.4969987869263,1,
9e+99,True,1,89db9481,2024-07-25_17-57-39,1721930259,467.3294098377228,467.3294098377228,19817,efd53ac26776,172.18.0.2,467.3294098377228,1,
1553.6328,True,1,dc9e1a39,2024-07-25_18-56-08,1721933768,4001.443303823471,4001.443303823471,9862,efd53ac26776,172.18.0.2,4001.443303823471,1,
1364.0739999999998,True,1,314e6e12,2024-07-25_20-57-08,1721941028,4883.248668670654,4883.248668670654,431137,efd53ac26776,172.18.0.2,4883.248668670654,1,
