minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1454.2306,True,1,c82a5dd4,2024-07-27_10-35-41,1722076541,4332.280531406403,4332.280531406403,460079,2bbee10cb719,172.18.0.2,4332.280531406403,1
1446.10837,True,1,157238bc,2024-07-27_09-10-07,1722071407,3570.9137647151947,3570.9137647151947,5355,2bbee10cb719,172.18.0.2,3570.9137647151947,1
1528.2461,True,1,eb081cfd,2024-07-27_08-44-26,1722069866,2030.9614005088808,2030.9614005088808,4788,2bbee10cb719,172.18.0.2,2030.9614005088808,1
1411.6593,True,1,fe23ac3a,2024-07-27_08-52-45,1722070365,1248.6976675987244,1248.6976675987244,173091,2bbee10cb719,172.18.0.2,1248.6976675987244,1
1432.6352,True,1,a37705fe,2024-07-27_10-14-18,1722075258,1621.018329620361,1621.018329620361,629090,2bbee10cb719,172.18.0.2,1621.018329620361,1
1479.6684,True,1,7e48a392,2024-07-27_09-47-15,1722073635,3225.352578163147,3225.352578163147,276693,2bbee10cb719,172.18.0.2,3225.352578163147,1
1518.39237,True,1,2c213163,2024-07-27_09-45-09,1722073509,2686.501361846924,2686.501361846924,322174,2bbee10cb719,172.18.0.2,2686.501361846924,1
1432.8465,True,1,f07db3be,2024-07-27_10-15-27,1722075327,2342.007375240326,2342.007375240326,540107,2bbee10cb719,172.18.0.2,2342.007375240326,1
1503.4486000000002,True,1,8239e815,2024-07-27_08-38-01,1722069481,1641.488410949707,1641.488410949707,6474,2bbee10cb719,172.18.0.2,1641.488410949707,1
1565.1351,True,1,7cfb6bbf,2024-07-27_09-43-45,1722073425,2216.426332473755,2216.426332473755,365016,2bbee10cb719,172.18.0.2,2216.426332473755,1
1505.7062,True,1,4d77bce6,2024-07-27_08-41-46,1722069706,1831.9920527935028,1831.9920527935028,18931,2bbee10cb719,172.18.0.2,1831.9920527935028,1
1572.467259,True,1,a0a9a551,2024-07-27_08-40-25,1722069625,1793.1692247390747,1793.1692247390747,2900,2bbee10cb719,172.18.0.2,1793.1692247390747,1
1477.9762,True,1,fe996c56,2024-07-27_08-31-54,1722069114,1257.9398822784424,1257.9398822784424,12727,2bbee10cb719,172.18.0.2,1257.9398822784424,1
