minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1347.337,True,1,9e66b2e7,2024-07-28_21-21-04,1722201664,5582.492416858673,5582.492416858673,382387,b0a0d90971c3,172.18.0.2,5582.492416858673,1
1438.2118,True,1,37576f87,2024-07-28_19-17-06,1722194226,4098.359572172165,4098.359572172165,3862,b0a0d90971c3,172.18.0.2,4098.359572172165,1
1447.3889,True,1,5eafaf2b,2024-07-28_20-19-04,1722197944,3608.977976322174,3608.977976322174,258842,b0a0d90971c3,172.18.0.2,3608.977976322174,1
1779.9969999999998,True,1,30d2aa5e,2024-07-28_21-29-53,1722202193,11378.479530096054,11378.479530096054,194611,b0a0d90971c3,172.18.0.2,11378.479530096054,1
1537.9714,True,1,798bd73a,2024-07-28_19-56-55,1722196615,2845.367700576782,2845.367700576782,223745,b0a0d90971c3,172.18.0.2,2845.367700576782,1
1430.013,True,1,a752b654,2024-07-28_19-00-29,1722193229,3086.6942596435547,3086.6942596435547,10660,b0a0d90971c3,172.18.0.2,3086.6942596435547,1
1375.992,True,1,1a193a0c,2024-07-28_23-14-26,1722208466,7735.919842481613,7735.919842481613,600728,b0a0d90971c3,172.18.0.2,7735.919842481613,1
1411.285,True,1,df6fe9a7,2024-07-28_20-37-55,1722199075,4192.046659231186,4192.046659231186,307282,b0a0d90971c3,172.18.0.2,4192.046659231186,1
1774.17,True,1,86ada134,2024-07-28_20-11-44,1722197504,7350.960111379623,7350.960111379623,15072,b0a0d90971c3,172.18.0.2,7350.960111379623,1
1387.632,True,1,8427f898,2024-07-28_21-49-55,1722203395,5881.581053972244,5881.581053972244,465681,b0a0d90971c3,172.18.0.2,5881.581053972244,1
1539.5709,True,1,0efe458a,2024-07-28_19-25-53,1722194753,4598.142397403717,4598.142397403717,15706,b0a0d90971c3,172.18.0.2,4598.142397403717,1
1410.053,True,1,59c51abb,2024-07-28_21-05-28,1722200728,4841.131089448929,4841.131089448929,371096,b0a0d90971c3,172.18.0.2,4841.131089448929,1
1514.5857,True,1,9ad770a0,2024-07-28_19-29-36,1722194976,4830.740627527237,4830.740627527237,11918,b0a0d90971c3,172.18.0.2,4830.740627527237,1
1423.188,True,1,ecc13dad,2024-07-28_23-21-49,1722208909,5990.023474693298,5990.023474693298,687269,b0a0d90971c3,172.18.0.2,5990.023474693298,1
1556.9664,True,1,f6b0237a,2024-07-28_21-42-24,1722202944,4386.824504852295,4386.824504852295,524659,b0a0d90971c3,172.18.0.2,4386.824504852295,1
1411.209,True,1,8b3a0b77,2024-07-28_22-49-17,1722206957,6032.353731155396,6032.353731155396,612628,b0a0d90971c3,172.18.0.2,6032.353731155396,1
1701.491,True,1,4540eb36,2024-07-28_19-30-01,1722195001,4863.15492939949,4863.15492939949,8777,b0a0d90971c3,172.18.0.2,4863.15492939949,1
9e+99,True,1,9df10360,2024-07-28_18-18-17,1722190697,565.1940016746521,565.1940016746521,6265,b0a0d90971c3,172.18.0.2,565.1940016746521,1
1451.26,True,1,38f70bc1,2024-07-28_21-52-30,1722203550,6715.25070476532,6715.25070476532,432526,b0a0d90971c3,172.18.0.2,6715.25070476532,1
1440.321,True,1,2b6685c5,2024-07-28_21-41-56,1722202916,5640.835547685623,5640.835547685623,450358,b0a0d90971c3,172.18.0.2,5640.835547685623,1
1345.9250000000002,True,1,5cdf1b99,2024-07-28_21-19-15,1722201555,5726.838283777237,5726.838283777237,368057,b0a0d90971c3,172.18.0.2,5726.838283777237,1
9e+99,True,1,e240462a,2024-07-28_18-20-12,1722190812,122.62560796737672,122.62560796737672,186136,b0a0d90971c3,172.18.0.2,122.62560796737672,1
1446.177,True,1,668fc034,2024-07-28_21-08-43,1722200923,5312.975061655045,5312.975061655045,360900,b0a0d90971c3,172.18.0.2,5312.975061655045,1
1535.908,True,1,b2ff647f,2024-07-28_22-47-48,1722206868,4974.497503757477,4974.497503757477,652022,b0a0d90971c3,172.18.0.2,4974.497503757477,1
1404.8490000000002,True,1,ecf3215a,2024-07-28_21-10-34,1722201034,4724.553155422211,4724.553155422211,403909,b0a0d90971c3,172.18.0.2,4724.553155422211,1
1349.347,True,1,e5f642f0,2024-07-28_19-47-59,1722196079,5907.502534627914,5907.502534627914,22647,b0a0d90971c3,172.18.0.2,5907.502534627914,1
1435.571,True,1,c2717e1c,2024-07-28_22-07-56,1722204476,6969.841119527817,6969.841119527817,464804,b0a0d90971c3,172.18.0.2,6969.841119527817,1
1417.2179999999998,True,1,c5962e63,2024-07-28_19-28-00,1722194880,4732.00263094902,4732.00263094902,13331,b0a0d90971c3,172.18.0.2,4732.00263094902,1
1314.551,True,1,04d7ee2a,2024-07-28_22-54-28,1722207268,6231.990000247955,6231.990000247955,619997,b0a0d90971c3,172.18.0.2,6231.990000247955,1
1889.019,True,1,5df16b61,2024-07-28_20-58-22,1722200302,10139.30069231987,10139.30069231987,18902,b0a0d90971c3,172.18.0.2,10139.30069231987,1
